truth,pred,error
53,42.0917605733179,-10.908239426682101
56,42.867628646875964,-13.132371353124036
44,42.867628646875964,-1.1323713531240358
40,42.098532969695086,2.0985329696950856
55,42.11601516046297,-12.883984839537028
51,42.89455851431278,-8.105441485687223
40,42.10434767289993,2.1043476728999266
50,42.89908040836337,-7.100919591636632
45,42.883843376721366,-2.116156623278634
56,42.11822625355315,-13.881773746446846
24,42.089377208933605,18.089377208933605
48,42.88415837931354,-5.11584162068646
52,42.09758471417688,-9.902415285823118
46,42.86913408472084,-3.130865915279159
39,42.885031630858805,3.885031630858805
45,42.10302434570283,-2.8969756542971723
46,42.899786570232735,-3.1002134297672654
45,42.10302434570283,-2.8969756542971723
42,42.105329945981914,0.10532994598191436
54,42.88056402569964,-11.119435974300359
34,42.89455851431278,8.894558514312777
56,42.885031630858805,-13.114968369141195
49,42.08684670238407,-6.913153297615928
42,42.89981285380258,0.8998128538025796
34,42.105072130979686,8.105072130979686
29,42.09084891857886,13.090848918578857
37,42.91355781193002,5.913557811930019
39,42.11822625355315,3.1182262535531535
22,42.91347516890002,20.91347516890002
57,42.90188889716923,-14.09811110283077
53,42.105329945981914,-10.894670054018086
45,42.86913408472084,-2.130865915279159
48,42.09360752959012,-5.906392470409877
48,42.89455851431278,-5.105441485687223
48,42.1098848727684,-5.890115127231603
48,42.1024326239709,-5.897567376029102
24,42.883843376721366,18.883843376721366
37,42.08665591532585,5.086655915325849
55,42.866652478548474,-12.133347521451526
44,42.104883735584046,-1.8951162644159538
46,42.09816951344529,-3.901830486554708
39,42.08684670238407,3.086846702384072
24,42.88580346301853,18.885803463018533
55,42.883185769683635,-12.116814230316365
50,42.09084891857886,-7.909151081421143
35,42.896225414317406,7.896225414317406
42,40.09990442452423,-1.900095575475767
36,42.105329945981914,6.105329945981914
53,42.11822625355315,-10.881773746446846
22,42.095682968112406,20.095682968112406
43,42.109207616469604,-0.8907923835303961
39,42.0886604541937,3.0886604541937004
48,42.095778419887345,-5.9042215801126545
29,42.09428076112699,13.094280761126988
22,42.10916373883611,20.10916373883611
51,40.099981690154266,-10.900018309845734
42,42.105329945981914,0.10532994598191436
24,42.08191347714842,18.08191347714842
36,42.901709703623524,6.901709703623524
49,42.867628646875964,-6.132371353124036
40,42.0917605733179,2.0917605733178988
49,42.108044661926975,-6.891955338073025
48,42.866652478548474,-5.133347521451526
47,42.09999259171635,-4.900007408283649
49,40.108054107624305,-8.891945892375695
43,42.095435738013855,-0.9045642619861454
55,42.10039480417428,-12.899605195825721
39,42.883185769683635,3.883185769683635
37,42.89965502290529,5.899655022905293
47,42.86955699103757,-4.13044300896243
48,42.88580346301853,-5.114196536981467
40,42.098532969695086,2.0985329696950856
37,42.098532969695086,5.098532969695086
55,42.09758471417688,-12.902415285823118
35,42.89993809219034,7.8999380921903395
36,42.901709703623524,6.901709703623524
45,42.104883735584046,-2.895116264415954
42,42.0917605733179,0.09176057331789877
22,42.10055516987734,20.10055516987734
53,42.899786570232735,-10.100213429767265
49,42.899786570232735,-6.100213429767265
29,42.11822625355315,13.118226253553154
48,42.099981312240416,-5.900018687759584
44,42.09598163440579,-1.9040183655942116
56,42.91355781193002,-13.08644218806998
43,42.88050407207402,-0.11949592792598196
39,42.901709703623524,3.901709703623524
37,42.88580346301853,5.885803463018533
40,42.095839446120955,2.095839446120955
56,42.11822625355315,-13.881773746446846
50,42.11169021191165,-7.88830978808835
40,42.89965502290529,2.899655022905293
43,42.10055516987734,-0.8994448301226612
37,42.90826025412755,5.908260254127548
42,42.883185769683635,0.8831857696836352
55,42.0917605733179,-12.908239426682101
22,42.10039480417428,20.10039480417428
60,42.104883735584046,-17.895116264415954
34,42.883843376721366,8.883843376721366
22,42.10916373883611,20.10916373883611
46,42.105329945981914,-3.8946700540180856
51,42.09623713616458,-8.903762863835418
50,42.88050407207402,-7.119495927925982
45,42.109207616469604,-2.890792383530396
49,42.0917605733179,-6.908239426682101
53,42.883242173258786,-10.116757826741214
39,42.09758471417688,3.0975847141768824
40,42.91347516890002,2.913475168900021
34,42.89908040836337,8.899080408363368
40,42.08684670238407,2.086846702384072
37,42.89993809219034,5.8999380921903395
22,42.10434767289993,20.104347672899927
39,40.10369091229171,1.103690912291711
42,42.883185769683635,0.8831857696836352
34,42.122798378622,8.122798378622
48,42.899868523985155,-5.100131476014845
48,42.8945549559625,-5.105445044037502
29,42.09758471417688,13.097584714176882
60,42.91091861596351,-17.08908138403649
44,42.11676489011316,-1.88323510988684
